Description,Category,Urgency,Resolution,Cost
Excessive dust emissions from the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Turbine control valve malfunction.,Mechanical Failure,High,Repair Control Valve,7000
Faulty data transmission between substations.,Communication Failure,Medium,Restore Data Transmission,3000
Fuel supply line rupture in a combined-cycle power plant.,Mechanical Failure,High,Repair Fuel Line,9500
Control system freeze during a system update.,Software Failure,Medium,Restart and Update,3500
Generator stator winding insulation breakdown.,Electrical Failure,High,Replace Stator Winding,12000
Excessive vibration in the wind turbine tower.,Mechanical Failure,Medium,Inspect and Reinforce,4500
Emergency shutdown due to a gas leak in a natural gas plant.,Leak,High,Fix Leak and Ventilate,8200
Cooling water pH levels out of range.,Water Quality Issue,High,Adjust Water Chemistry,4200
Steam turbine blade fatigue cracks.,Mechanical Failure,High,Replace Affected Blades,9000
Loss of communication with the grid operator.,Communication Failure,Medium,Restore Communication,3500
Hydroelectric turbine runner damage.,Mechanical Failure,High,Repair Turbine Runner,7800
Unresponsive supervisory control system.,Software Failure,Medium,Restart and Update,3200
Transformer oil contamination detected.,Oil Contamination,High,Replace Oil and Filter,5800
Faulty synchronization relay in the switchgear.,Electrical Failure,High,Replace Relay,4500
Biomass fuel conveyor system jamming.,Mechanical Failure,Medium,Clear Blockage,4200
Control room temperature exceeding safe limits.,Thermal Issue,Medium,Inspect and Ventilate,3200
Corroded piping in the cooling water system.,Corrosion Issue,High,Replace Corroded Sections,5200
Diesel generator malfunction during startup.,Mechanical Failure,High,Repair Generator,6700
Emergency backup generator not engaging.,Electrical Failure,High,Repair Backup System,5500
Biofuel quality degradation causing combustion issues.,Fuel Issue,High,Improve Fuel Quality,6300
High-pressure boiler tube rupture.,Pressure Issue,High,Shutdown and Replace Tubes,11500
Unstable voltage output from the generator.,Electrical Failure,High,Stabilize Voltage,4800
Excessive algae growth in the cooling water pond.,Water Quality Issue,High,Treat Algae and Clean Pond,4200
Steam turbine governor control failure.,Mechanical Failure,High,Repair Governor Control,7800
Grid synchronization failure during load shedding.,Electrical Failure,High,Re-synchronize and Load Shed,9500
Accumulated coal dust in the boiler causing ignition risks.,Environmental Issue,High,Improve Dust Control,11000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater contamination detected.,Water Quality Issue,High,Filter and Treat Feedwater,4200
Turbine blade resonance vibrations.,Mechanical Failure,High,Inspect and Tune Blades,6800
Unusual radiation levels near the nuclear reactor.,Radiation Issue,High,Investigate and Contain,15000
Generator exciter failure during startup.,Electrical Failure,High,Replace Exciter,7800
Biomass fuel supply conveyor motor failure.,Mechanical Failure,High,Repair Conveyor Motor,6200
Emergency shutdown due to a gas turbine flameout.,Mechanical Failure,High,Restart and Inspect,9500
Control room system errors during load dispatching.,Software Failure,Medium,Restart and Reconfigure,3800
Transformer oil leaks detected.,Leak,High,Repair Leaks and Replace Oil,7500
Loss of grid connection causing power outage.,Electrical Failure,High,Restore Grid Connection,12000
Wind turbine blade erosion.,Mechanical Failure,Medium,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Regulator,4500
Biomass fuel moisture content exceeding limits.,Fuel Issue,High,Optimize Fuel Drying,5800
Steam turbine blade cracking.,Mechanical Failure,High,Replace Affected Blades,7800
Emergency generator fuel tank leakage.,Leak,High,Fix Leak and Replace Tank,6700
Loss of communication with the control center.,Communication Failure,Medium,Restore Communication,3200
Cooling water flow restriction in the condenser.,Water Flow Issue,High,Restore Water Flow,4500
Generator stator insulation breakdown.,Electrical Failure,High,Replace Stator Insulation,9000
Combustion chamber overheating in a gas-fired plant.,Thermal Issue,High,Cool Combustion Chamber,7500
Boiler feedwater pump motor failure.,Mechanical Failure,High,Repair Pump Motor,6200
Steam turbine blade erosion.,Mechanical Failure,High,Replace Eroded Blades,5800
Excessive noise from the gas turbine exhaust.,Mechanical Failure,Low,Add to Watch List,0
Inaccurate temperature readings from combustion sensors.,Sensor Failure,Medium,Calibrate Sensors,3200
Steam turbine valve actuator malfunction.,Mechanical Failure,High,Repair Actuator,7800
Generator circuit breaker tripping during load peaks.,Electrical Failure,High,Inspect and Reset Breaker,5200
Coal dust explosion risks in the coal handling system.,Environmental Issue,High,Improve Dust Control,11000
Boiler tube corrosion detected.,Corrosion Issue,High,Replace Corroded Tubes,5800
Fuel injector clogging in a diesel generator.,Mechanical Failure,Medium,Clean Injectors,4200
Wind turbine pitch control system failure.,Mechanical Failure,High,Repair Pitch Control,6700
Control system software freezing during operation.,Software Failure,Medium,Restart and Update,3500
Oil leakage from the hydraulic system.,Leak,High,Fix Leak and Replace Oil,7500
Generator voltage regulator instability.,Electrical Failure,High,Replace Reg,5000
Catastrophic boiler failure leading to a major explosion.,Mechanical Failure,Critical,Shutdown and Rebuild,150000
 Complete meltdown of a nuclear reactor.,Radiation Issue,Critical,Evacuate and Contain,300000
 Massive turbine blade disintegration with shrapnel damage.,Mechanical Failure,Critical,Replace and Inspect,120000
Severe transformer oil fire  threatening adjacent equipment.,Fire Hazard,Critical,Activate Fire Suppression and Isolate,75000
Collapse of a cooling tower due to structural failure.,Structural Failure,Critical,Evacuate and Reconstruct,180000
 Total loss of power grid synchronization with long-term blackout.,Electrical Failure,Critical,Grid Restoration and Repair,250000
Rupture in a high-pressure steam pipe causing a steam explosion.,Mechanical Failure,Critical,Isolate and Repair Pipe,90000
Complete failure of a hydroelectric dam  causing massive flooding.,Structural Failure,Critical,Evacuate and Rebuild Dam,350000
Uncontrolled nuclear chain reaction in a reactor core.,Radiation Issue,Critical,Evacuate and Contain,280000
Catastrophic gas turbine explosion resulting in multiple fatalities.,Mechanical Failure,Critical,Investigate and Overhaul,200000
Severe corrosion leading to a boiler tube breach and explosion.,Corrosion Issue,Critical,Replace and Inspect Tubes,110000
Loss of all emergency backup power systems.,Electrical Failure,Critical,Restore Emergency Power,80000
Collapse of a wind turbine tower during a storm.,Structural Failure,Critical,Evacuate and Rebuild Tower,140000
Massive fuel spill from a storage tank with environmental impact.,Environmental Issue,Critical,Contain and Remediate,120000
Complete failure of a geothermal well  releasing toxic gases.,Environmental Issue,Critical,Evacuate and Cap Well,160000
Failure in a high-voltage transmission line  causing wildfires.,Electrical Failure,Critical,Isolate and Repair Line,95000
Out-of-control biomass combustion leading to a forest fire.,Environmental Issue,Critical,Contain and Extinguish Fire,175000
Multiple simultaneous gas leaks in a natural gas power plant.,Environmental Issue,Critical,Evacuate and Isolate,105000
Collapse of a coal silo  burying equipment and personnel.,Structural Failure,Critical,Rescue and Rebuild,210000
Nuclear reactor coolant contamination with hazardous materials.,Radiation Issue,Critical,Contain and Decontaminate,195000
Complete loss of control in a hydroelectric power station.,Mechanical Failure,Critical,Shutdown and Reevaluate,135000
Catastrophic failure of a hydroelectric dam during a flood.,Structural Failure,Critical,Evacuate and Rebuild Dam,280000
Major explosion in a natural gas storage facility.,Environmental Issue,Critical,Contain and Vent Gas Safely,115000
Complete blackout with a prolonged outage in extreme weather.,Electrical Failure,Critical,Restore Grid and Stabilize,165000
Massive cooling system failure in a nuclear reactor.,Thermal Issue,Critical,Emergency Cooling and Repair,240000
Rupture of a high-pressure gas pipeline  causing a fireball.,Environmental Issue,Critical,Evacuate and Isolate,125000
Complete failure of a solar power plant's energy storage system.,Electrical Failure,Critical,Replace and Upgrade Storage,145000
Sudden turbine overspeed causing catastrophic equipment damage.,Mechanical Failure,Critical,Inspect and Replace Components,185000
Major cyberattack leading to a shutdown of all control systems.,Cybersecurity Issue,Critical,Isolate and Recover,155000
Collapse of a transmission tower  disrupting power distribution.,Structural Failure,Critical,Repair and Reinforce Tower,135000
Nuclear reactor core breach  leading to a radioactive release.,Radiation Issue,Critical,Evacuate and Contain,310000
Catastrophic boiler explosion with extensive property damage.,Mechanical Failure,Critical,Assess Damage and Rebuild,220000
Severe corrosion in a gas pipeline causing a rupture.,Corrosion Issue,Critical,Shut Down and Replace Section,95000
Massive wildfire threatening a remote gas power plant.,Environmental Issue,Critical,Evacuate and Firefight,175000
Complete failure of a tidal power generation system.,Mechanical Failure,Critical,Recover and Redesign System,185000
Loss of control in a nuclear fuel reprocessing facility.,Radiation Issue,Critical,Evacuate and Contain,280000
Catastrophic failure of a high-voltage substation  causing a fire.,Electrical Failure,Critical,Contain Fire and Rebuild,195000
Complete meltdown of a geothermal power plant's wellhead.,Environmental Issue,Critical,Contain and Cap Well,125000
Collapse of a wind turbine blade onto a public roadway.,Structural Failure,Critical,Secure Area and Replace Blade,140000
